envoy-1         | [2024-06-11 11:32:19.483][1][info][main] [source/server/server.cc:395]   envoy.filters.udp_listener: envoy.filters.udp.dns_filter, envoy.filters.udp_listener.udp_proxy
envoy-1         | [2024-06-11 11:32:19.483][1][info][main] [source/server/server.cc:395]   envoy.thrift_proxy.filters: envoy.filters.thrift.header_to_metadata, envoy.filters.thrift.rate_limit, envoy.filters.thrift.router
envoy-1         | [2024-06-11 11:32:19.483][1][info][main] [source/server/server.cc:395]   envoy.guarddog_actions: envoy.watchdog.abort_action, envoy.watchdog.profile_action
envoy-1         | [2024-06-11 11:32:19.483][1][info][main] [source/server/server.cc:395]   envoy.rate_limit_descriptors: envoy.rate_limit_descriptors.expr
envoy-1         | [2024-06-11 11:32:19.483][1][info][main] [source/server/server.cc:395]   envoy.request_id: envoy.request_id.uuid
envoy-1         | [2024-06-11 11:32:19.483][1][info][main] [source/server/server.cc:395]   envoy.route.early_data_policy: envoy.route.early_data_policy.default
envoy-1         | [2024-06-11 11:32:19.483][1][info][main] [source/server/server.cc:395]   envoy.formatter: envoy.formatter.metadata, envoy.formatter.req_without_query
envoy-1         | [2024-06-11 11:32:19.487][1][warning][misc] [source/common/protobuf/message_validator_impl.cc:21] Deprecated field: type envoy.config.cluster.v3.Cluster Using deprecated option 'envoy.config.cluster.v3.Cluster.dns_resolvers' from file cluster.proto. This configuration will be removed from Envoy soon. Please see https://www.envoyproxy.io/docs/envoy/latest/version_history/version_history for details. If continued use of this field is absolutely necessary, see https://www.envoyproxy.io/docs/envoy/latest/configuration/operations/runtime#using-runtime-overrides-for-deprecated-features for how to apply a temporary and highly discouraged override.
envoy-1         | [2024-06-11 11:32:19.487][1][warning][misc] [source/common/protobuf/message_validator_impl.cc:21] Deprecated field: type envoy.config.bootstrap.v3.Admin Using deprecated option 'envoy.config.bootstrap.v3.Admin.access_log_path' from file bootstrap.proto. This configuration will be removed from Envoy soon. Please see https://www.envoyproxy.io/docs/envoy/latest/version_history/version_history for details. If continued use of this field is absolutely necessary, see https://www.envoyproxy.io/docs/envoy/latest/configuration/operations/runtime#using-runtime-overrides-for-deprecated-features for how to apply a temporary and highly discouraged override.
envoy-1         | [2024-06-11 11:32:19.487][1][info][main] [source/server/server.cc:443] HTTP header map info:
envoy-1         | [2024-06-11 11:32:19.487][1][info][main] [source/server/server.cc:446]   request header map: 664 bytes: :authority,:method,:path,:protocol,:scheme,accept,accept-encoding,access-control-request-headers,access-control-request-method,access-control-request-private-network,authentication,authorization,cache-control,cdn-loop,connection,content-encoding,content-length,content-type,expect,grpc-accept-encoding,grpc-timeout,if-match,if-modified-since,if-none-match,if-range,if-unmodified-since,keep-alive,origin,pragma,proxy-connection,proxy-status,referer,te,transfer-encoding,upgrade,user-agent,via,x-client-trace-id,x-envoy-attempt-count,x-envoy-decorator-operation,x-envoy-downstream-service-cluster,x-envoy-downstream-service-node,x-envoy-expected-rq-timeout-ms,x-envoy-external-address,x-envoy-force-trace,x-envoy-hedge-on-per-try-timeout,x-envoy-internal,x-envoy-ip-tags,x-envoy-max-retries,x-envoy-original-path,x-envoy-original-url,x-envoy-retriable-header-names,x-envoy-retriable-status-codes,x-envoy-retry-grpc-on,x-envoy-retry-on,x-envoy-upstream-alt-stat-name,x-envoy-upstream-rq-per-try-timeout-ms,x-envoy-upstream-rq-timeout-alt-response,x-envoy-upstream-rq-timeout-ms,x-envoy-upstream-stream-duration-ms,x-forwarded-client-cert,x-forwarded-for,x-forwarded-host,x-forwarded-proto,x-ot-span-context,x-request-id
envoy-1         | [2024-06-11 11:32:19.487][1][info][main] [source/server/server.cc:446]   request trailer map: 128 bytes: 
envoy-1         | [2024-06-11 11:32:19.487][1][info][main] [source/server/server.cc:446]   response header map: 440 bytes: :status,access-control-allow-credentials,access-control-allow-headers,access-control-allow-methods,access-control-allow-origin,access-control-allow-private-network,access-control-expose-headers,access-control-max-age,age,cache-control,connection,content-encoding,content-length,content-type,date,etag,expires,grpc-message,grpc-status,keep-alive,last-modified,location,proxy-connection,proxy-status,server,transfer-encoding,upgrade,vary,via,x-envoy-attempt-count,x-envoy-decorator-operation,x-envoy-degraded,x-envoy-immediate-health-check-fail,x-envoy-ratelimited,x-envoy-upstream-canary,x-envoy-upstream-healthchecked-cluster,x-envoy-upstream-service-time,x-request-id
envoy-1         | [2024-06-11 11:32:19.487][1][info][main] [source/server/server.cc:446]   response trailer map: 152 bytes: grpc-message,grpc-status
envoy-1         | [2024-06-11 11:32:19.490][1][info][main] [source/server/server.cc:798] runtime: {}
envoy-1         | [2024-06-11 11:32:19.491][1][info][admin] [source/server/admin/admin.cc:67] admin address: 127.0.0.1:9901
envoy-1         | [2024-06-11 11:32:19.491][1][debug][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:561] c-ares library initialized.
envoy-1         | [2024-06-11 11:32:19.491][1][info][config] [source/server/configuration_impl.cc:131] loading tracing configuration
envoy-1         | [2024-06-11 11:32:19.491][1][info][config] [source/server/configuration_impl.cc:91] loading 0 static secret(s)
envoy-1         | [2024-06-11 11:32:19.491][1][info][config] [source/server/configuration_impl.cc:97] loading 1 cluster(s)
envoy-1         | [2024-06-11 11:32:19.492][1][trace][upstream] [source/common/upstream/strict_dns_cluster.cc:107] starting async DNS resolution for run.mocky.io
envoy-1         | [2024-06-11 11:32:19.492][1][debug][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:354] dns resolution for run.mocky.io started
envoy-1         | [2024-06-11 11:32:19.493][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 5000 milliseconds
envoy-1         | [2024-06-11 11:32:19.493][1][debug][upstream] [source/common/upstream/cluster_manager_impl.cc:115] cm init: adding: cluster=greeter_service primary=1 secondary=0
envoy-1         | [2024-06-11 11:32:19.493][1][debug][upstream] [source/common/upstream/cluster_manager_impl.cc:169] maybe finish initialize state: 1
envoy-1         | [2024-06-11 11:32:19.493][1][debug][upstream] [source/common/upstream/cluster_manager_impl.cc:178] maybe finish initialize primary init clusters empty: false
envoy-1         | [2024-06-11 11:32:19.493][1][info][config] [source/server/configuration_impl.cc:101] loading 1 listener(s)
envoy-1         | [2024-06-11 11:32:19.494][1][info][config] [source/server/configuration_impl.cc:113] loading stats configuration
envoy-1         | [2024-06-11 11:32:19.495][1][info][main] [source/server/server.cc:894] starting main dispatch loop
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 4998 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 4998 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 10000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 10000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 10000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 20000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 20000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 20000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 40000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 40000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][debug][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:153] dns resolution for run.mocky.io failed with c-ares status 11
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 40000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 5000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 5000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 5000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 10000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 10000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 10000 milliseconds
envoy-1         | [2024-06-11 11:32:19.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 20000 milliseconds
envoy-1         | [2024-06-11 11:32:39.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 0 milliseconds
envoy-1         | [2024-06-11 11:32:39.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 0 milliseconds
envoy-1         | [2024-06-11 11:32:39.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 0 milliseconds
envoy-1         | [2024-06-11 11:32:39.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 0 milliseconds
envoy-1         | [2024-06-11 11:32:39.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 0 milliseconds
envoy-1         | [2024-06-11 11:32:39.495][1][trace][dns] [source/extensions/network/dns_resolver/cares/dns_impl.cc:317] Setting DNS resolution timer for 0 milliseconds
